ds,yhat,yhat_lower,yhat_upper
2019-01-01,39.78937175093664,28.71904946705742,50.36657498876439
2019-01-02,39.79189586156842,28.706786365006575,50.45709112277041
2019-01-03,37.43718275340114,26.97414960624287,48.016750720533054
2019-01-04,39.019291397606295,28.265079285292828,49.85263033714663
2019-01-05,37.52944858688034,26.833101242104732,47.86884219565786
2019-01-06,39.81448057038279,29.43124459591335,51.149441391940044
2019-01-07,38.289084276044306,26.952659820405398,48.338460585440465
2019-01-08,39.49441848059049,28.235882862599652,49.99403297335673
2019-01-09,39.79033244875136,28.468849703124512,50.88058988930023
2019-01-10,37.73807186030895,25.654484162214462,48.955273803297736
2019-01-11,39.62356130062252,28.764920597275527,51.12760045835733
2019-01-12,38.429596102034274,27.126048583595246,49.032553255721965
2019-01-13,40.99450317789694,30.00609643577518,52.29304421684092
2019-01-14,39.7246489852867,28.928938480173827,51.30285666931217
2019-01-15,41.1532685857649,30.387605963678624,51.9641634983822
2019-01-16,41.63292679551209,30.856098397561134,53.123598790689115
2019-01-17,39.71844475320026,28.529367034368533,50.82872140042822
2019-01-18,41.690384909285356,30.410228916790896,52.59819486967108
2019-01-19,40.52742134703308,28.4669735244719,51.995215377549776
2019-01-20,43.06514976001019,32.76884434907144,54.29243074295436
2019-01-21,41.708710618759795,30.612407476023552,52.86652592644161
2019-01-22,42.991695740537395,32.3988888839617,53.57651995487626
2019-01-23,43.268646459087016,32.39592590736274,54.53068230317901
2019-01-24,41.09797497698524,29.98251485892987,51.49386566400558
2019-01-25,42.76540126016747,31.771908521170342,53.61154728356428
2019-01-26,41.25623291949474,30.72355916457435,51.72974826098328
2019-01-27,43.414043978004365,32.70341653150952,54.49897643878537
2019-01-28,41.65312886896254,30.508692874179093,52.80507934198241
2019-01-29,42.51720563785913,31.461124353286497,53.44155033904444
2019-01-30,42.37168129861101,31.344691037994597,53.417546092745035
2019-01-31,39.78631651110558,28.77979679867595,51.23667304592283
2019-02-01,41.05838822873551,30.801087551563537,52.626317791610816
2019-02-02,39.18468454627725,27.256830836058302,49.80642222338287
2019-02-03,41.01989489320581,30.31818603549552,52.01525324858424
2019-02-04,38.98877920599098,27.610429440961113,49.57534988509453
2019-02-05,39.6445974213505,28.5923691189978,51.10100650282976
2019-02-06,39.361119358085915,28.232164161095348,50.58016945867164
2019-02-07,36.71505887775483,25.335691739122144,47.68525719051218
2019-02-08,38.00903711553445,26.65688693829467,48.80792325754059
2019-02-09,36.24341440919221,25.365531339616535,46.750769761700624
2019-02-10,38.27455857776014,26.406064003069748,48.68022938297272
2019-02-11,36.52693667592129,26.592155226019482,48.00710380415643
2019-02-12,37.551513947689976,26.918609971983393,48.730647404964
2019-02-13,37.71778125062105,25.56914986434134,49.01095143380052
2019-02-14,35.5962548288483,25.376392512306445,46.336531781523995
2019-02-15,37.48155199454181,26.54692069190601,48.150316447583336
2019-02-16,36.36437992137747,25.318104113494442,46.52363561334246
2019-02-17,39.09000164267289,28.47221126527269,50.14383574507387
2019-02-18,38.070561773634104,26.89930159212569,49.11064701469175
2019-02-19,39.843750159110094,28.572218178712195,50.38852242965517
2019-02-20,40.76511837164762,30.062568691718457,51.476456032538685
2019-02-21,39.390886010965836,28.450658638863633,50.07778834307506
2019-02-22,42.00133295156506,30.644608828663774,53.03937357734047
2019-02-23,41.57310708299907,30.908968368208072,53.25335729157125
2019-02-24,44.93800390881714,34.34766997409212,55.642898474337
2019-02-25,44.4955929321695,33.60888447620732,56.100204034239574
2019-02-26,46.772161750469046,35.66307421140267,58.075123529088664
2019-02-27,48.11328605072436,37.61962857185523,58.240951295912744
2019-02-28,47.06685635916999,35.70917280607311,57.86924968121196
2019-03-01,49.90665246384246,38.67805604233235,60.862019382197175
2019-03-02,49.60479077811044,38.74526931489163,60.35073696068207
2019-03-03,52.99059780687281,41.84090834169597,64.31641040026739
2019-03-04,52.46328258592747,41.34777198253476,64.17196739813659
2019-03-05,54.550878152606295,44.041697143054655,66.10873380080848
2019-03-06,55.60276058357513,44.92480150083257,66.41662547180553
2019-03-07,54.172577989481525,43.156465248780194,64.78462855349427
2019-03-08,56.54168306768362,44.91057880918743,67.04417998592827
2019-03-09,55.69139823101506,43.724084392401345,66.81454377359319
2019-03-10,58.46167119094039,47.54957767847969,68.78386700384651
2019-03-11,57.26349941941557,46.12212195823203,68.74965897893694
2019-03-12,58.637599790739664,47.99341630089065,70.37448863437112
2019-03-13,58.946708171249426,47.80733058441855,70.37643455563301
2019-03-14,56.75800113997363,45.713209002681005,67.39322524906112
2019-03-15,58.36643536274758,47.38128681935266,69.78809480331202
2019-03-16,56.7666462493931,46.517508669375665,67.95539366869411
2019-03-17,58.811318141062955,48.24543138251393,69.81723782602845
2019-03-18,56.923341651516395,45.57326735540373,68.00014606013752
2019-03-19,57.65424057885903,46.9430681619828,68.7152042091544
2019-03-20,57.376189110485754,46.7480228016479,68.07464438926846
2019-03-21,54.664463421162765,43.81345116619458,65.24698986509051
2019-03-22,55.82043220913232,45.48379679398501,67.26400678370001
2019-03-23,53.84342510132833,43.6478230310663,65.36550189994135
2019-03-24,55.58904545099311,44.499345414130154,66.43404827932748
2019-03-25,53.481313130920235,43.11380791582856,64.8036041890077
2019-03-26,54.071119176422435,43.77997534975266,65.24568377259523
2019-03-27,53.728311394235014,42.628970679404475,64.03583595776801
2019-03-28,51.024252447558425,40.25582394353495,62.11255039460655
2019-03-29,52.254951473690106,42.1780140491579,63.01839490765187
2019-03-30,50.41310388584423,39.89793828553243,61.90290174198943
